depth,width,adp_best_val_loss,adp_val_acc_at_best_loss,adp_best_val_acc,grid_best_val_loss,grid_val_acc_at_best_loss,grid_best_val_acc,delta_best_val_loss_adp_minus_grid,delta_best_val_acc_adp_minus_grid,adp_rows
2,2,1.0000093456904093,0.7055,0.7055,0.9421570496559143,0.6868333333333333,0.6885,0.05785229603449504,0.017000000000000015,210
2,4,0.42009070150057476,0.8811666666666667,0.8813333333333333,0.4823232426643372,0.864,0.867,-0.06223254116376242,0.014333333333333309,69
2,6,0.2940634113152822,0.9165,0.9183333333333333,0.3038102841377258,0.9148333333333334,0.9178333333333333,-0.00974687282244363,0.000500000000000056,46
2,8,0.24686349105834962,0.9348333333333333,0.9361666666666667,0.23503640655676525,0.9308333333333333,0.9343333333333333,0.011827084501584373,0.0018333333333333535,32
2,10,0.227132670323054,0.9393333333333334,0.9406666666666667,0.20871822396914164,0.9395,0.9398333333333333,0.018414446353912373,0.0008333333333333526,33
2,12,0.21794423127174378,0.9396666666666667,0.9425,0.1769800583124161,0.9491666666666667,0.95,0.040964172959327694,-0.007499999999999951,13
2,14,0.21226551457246146,0.9421666666666667,0.946,0.1660956646601359,0.9501666666666667,0.9516666666666667,0.04616984991232556,-0.005666666666666709,11
2,16,0.1988719604810079,0.9481666666666667,0.9508333333333333,0.15778228330612182,0.9516666666666667,0.9518333333333333,0.04108967717488607,-0.0010000000000000009,18
2,18,0.1935588145653407,0.9498333333333333,0.9528333333333333,0.1542263312737147,0.9533333333333334,0.955,0.039332483291625975,-0.00216666666666665,11
2,20,0.19784604159990946,0.9525,0.9526666666666667,0.13326189984877904,0.9595,0.9603333333333334,0.06458414175113042,-0.0076666666666667105,11
